,index,action,adventure,animation,children,comedy,crime,date,documentary,drama,fantasy,horror,id,musical,mystery,noir,romance,scifi,thriller,title,war,western,Unnamed: 0,dates,domestic gross,production budget,title,worldwide gross
295,Children of the Revolution (1996),0,0,0,0,1,0,1-May-97,0,0,0,0,1511,0,0,0,0,0,0,Children of the Revolution,,,295,6/16/95,"$184,031,112","$100,000,000", Batman Forever,"$336,529,144"
296,Chinatown (1974),0,0,0,0,0,0,1-Jan-74,0,0,0,0,654,0,1,1,0,0,1,Chinatown,,,296,7/27/01,"$180,011,740","$100,000,000", Planet of the Apes,"$362,211,740"
297,"Christmas Carol, A (1938)",0,0,0,0,0,0,1-Jan-38,0,1,0,0,633,0,0,0,0,0,0,"Christmas Carol, A",,,297,11/19/04,"$173,005,002","$100,000,000", National Treasure,"$331,323,410"
298,Chungking Express (1994),0,0,0,0,0,0,16-Feb-96,0,1,0,0,1129,0,1,0,1,0,0,Chungking Express,,,298,12/25/12,"$162,805,434","$100,000,000", Django Unchained,"$449,948,323"
299,"Ciao, Professore! (1993)",0,0,0,0,0,0,1-Jan-93,0,1,0,0,1402,0,0,0,0,0,0,"Ciao, Professore!",,,299,12/22/10,"$148,438,600","$100,000,000", Little Fockers,"$310,650,574"
300,Cinderella (1950),0,0,1,1,0,0,1-Jan-50,0,0,0,0,418,1,0,0,0,0,0,Cinderella,,,300,7/15/94,"$146,282,411","$100,000,000", True Lies,"$365,300,000"
301,Cinema Paradiso (1988),0,0,0,0,1,0,1-Jan-88,0,1,0,0,170,0,0,0,1,0,0,Cinema Paradiso,,,301,11/2/07,"$130,164,645","$100,000,000", American Gangster,"$267,985,456"
302,Circle of Friends (1995),0,0,0,0,0,0,1-Jan-95,0,1,0,0,724,0,0,0,1,0,0,Circle of Friends,,,302,9/18/09,"$124,870,275","$100,000,000", Cloudy with a Chance of Meatballs,"$236,827,677"
303,Citizen Kane (1941),0,0,0,0,0,0,1-Jan-41,0,1,0,0,134,0,0,0,0,0,0,Citizen Kane,,,303,8/6/10,"$119,219,978","$100,000,000", The Other Guys,"$170,936,470"
304,Citizen Ruth (1996),0,0,0,0,1,0,13-Dec-96,0,1,0,0,236,0,0,0,0,0,0,Citizen Ruth,,,304,12/17/04,"$118,627,117","$100,000,000", Lemony Snicket's A Series of Unfortunate Events,"$212,956,024"
305,City Hall (1996),0,0,0,0,0,0,16-Feb-96,0,1,0,0,696,0,0,0,0,0,1,City Hall,,,305,12/25/13,"$116,900,694","$100,000,000", The Wolf of Wall Street,"$391,976,723"
306,City Slickers II: The Legend of Curly's Gold (1994),0,0,0,0,1,0,1-Jan-94,0,0,0,0,575,0,0,0,0,0,0,City Slickers II: The Legend of Curly's Gold,,,306,5/24/13,"$107,518,682","$100,000,000", Epic,"$262,794,441"
307,City of Angels (1998),0,0,0,0,0,0,3-Apr-98,0,0,0,0,918,0,0,0,1,0,0,City of Angels,,,307,6/21/96,"$101,295,562","$100,000,000", Eraser,"$234,400,000"
308,City of Industry (1997),0,0,0,0,0,1,14-Mar-97,0,0,0,0,1598,0,0,0,0,0,1,City of Industry,,,308,6/21/96,"$100,138,851","$100,000,000", The Hunchback of Notre Dame,"$325,500,000"
309,"City of Lost Children, The (1995)",0,1,0,0,0,0,1-Jan-95,0,0,0,0,919,0,0,0,0,1,0,"City of Lost Children, The",,,309,12/15/00,"$89,296,573","$100,000,000", The Emperor's New Groove,"$169,296,573"
310,Clean Slate (1994),0,0,0,0,1,0,1-Jan-94,0,0,0,0,999,0,0,0,0,0,0,Clean Slate,,,310,8/17/12,"$85,028,192","$100,000,000", The Expendables 2,"$311,979,256"
311,Clean Slate (Coup de Torchon) (1981),0,0,0,0,0,1,1-Jan-81,0,0,0,0,1560,0,0,0,0,0,0,Clean Slate (Coup de Torchon),,,311,10/16/09,"$77,233,467","$100,000,000", Where the Wild Things Are,"$99,123,656"
312,Clear and Present Danger (1994),1,1,0,0,0,0,1-Jan-94,0,0,0,0,566,0,0,0,0,0,1,Clear and Present Danger,,,312,12/15/06,"$75,030,163","$100,000,000", Eragon,"$249,488,115"
313,Clerks (1994),0,0,0,0,1,0,1-Jan-94,0,0,0,0,42,0,0,0,0,0,0,Clerks,,,313,7/25/14,"$72,688,614","$100,000,000", Hercules,"$243,388,614"
314,"Client, The (1994)",0,0,0,0,0,0,1-Jan-94,0,1,0,0,356,0,1,0,0,0,1,"Client, The",,,314,12/10/10,"$67,631,157","$100,000,000", The Tourist,"$278,731,369"
315,Cliffhanger (1993),1,1,0,0,0,1,1-Jan-93,0,0,0,0,576,0,0,0,0,0,0,Cliffhanger,,,315,11/24/99,"$66,889,043","$100,000,000", End of Days,"$212,026,975"
316,Clockers (1995),0,0,0,0,0,0,1-Jan-95,0,1,0,0,1267,0,0,0,0,0,0,Clockers,,,316,6/11/04,"$59,475,623","$100,000,000", The Stepford Wives,"$96,221,971"
317,"Clockwork Orange, A (1971)",0,0,0,0,0,0,1-Jan-71,0,0,0,0,179,0,0,0,0,1,0,"Clockwork Orange, A",,,317,6/8/07,"$58,867,694","$100,000,000", Surf's Up,"$145,395,745"
318,"Close Shave, A (1995)",0,0,1,0,1,0,28-Apr-96,0,0,0,0,408,0,0,0,0,0,1,"Close Shave, A",,,318,12/8/06,"$57,377,916","$100,000,000", Blood Diamond,"$171,377,916"
319,Clueless (1995),0,0,0,0,1,0,1-Jan-95,0,0,0,0,367,0,0,0,0,0,0,Clueless,,,319,9/24/10,"$55,675,313","$100,000,000", Legend of the Guardians: The Owls of Ga'Hoole,"$139,716,717"
320,Cobb (1994),0,0,0,0,0,0,1-Jan-94,0,1,0,0,1112,0,0,0,0,0,0,Cobb,,,320,11/7/97,"$54,768,952","$100,000,000", Starship Troopers,"$121,100,000"
321,Cold Comfort Farm (1995),0,0,0,0,1,0,23-Apr-96,0,0,0,0,116,0,0,0,0,0,0,Cold Comfort Farm,,,321,6/5/09,"$49,438,370","$100,000,000", Land of the Lost,"$69,548,641"
322,Coldblooded (1995),1,0,0,0,0,0,1-Jan-95,0,0,0,0,1414,0,0,0,0,0,0,Coldblooded,,,322,12/25/03,"$48,417,850","$100,000,000", Peter Pan,"$95,255,485"
323,"Collectionneuse, La (1967)",0,0,0,0,0,0,1-Jan-67,0,1,0,0,1578,0,0,0,0,0,0,"Collectionneuse, La",,,323,7/23/04,"$40,202,379","$100,000,000", Catwoman,"$82,145,379"
324,"Colonel Chabert, Le (1994)",0,0,0,0,0,0,1-Jan-94,0,1,0,0,1485,0,0,0,1,0,0,"Colonel Chabert, Le",,,324,8/15/14,"$39,322,544","$100,000,000", The Expendables 3,"$209,461,378"
325,Color of Night (1994),0,0,0,0,0,0,1-Jan-94,0,1,0,0,1273,0,0,0,0,0,1,Color of Night,,,325,11/27/02,"$38,120,554","$100,000,000", Treasure Planet,"$91,800,000"
326,Commandments (1997),0,0,0,0,0,0,2-May-97,0,0,0,0,1096,0,0,0,1,0,0,Commandments,,,326,3/12/10,"$35,497,337","$100,000,000", Green Zone,"$97,523,020"
327,Con Air (1997),1,1,0,0,0,0,6-Jun-97,0,0,0,0,1016,0,0,0,0,0,1,Con Air,,,327,12/25/15,"$28,782,481","$100,000,000", Point Break,"$128,131,571"
328,Conan the Barbarian (1981),1,1,0,0,0,0,1-Jan-81,0,0,0,0,679,0,0,0,0,0,0,Conan the Barbarian,,,328,12/11/15,"$25,020,758","$100,000,000", In the Heart of the Sea,"$90,420,758"
329,Condition Red (1995),1,0,0,0,0,0,1-Jan-95,0,1,0,0,1556,0,0,0,0,0,1,Condition Red,,,329,4/18/14,"$23,022,309","$100,000,000", Transcendence,"$103,039,258"
330,Coneheads (1993),0,0,0,0,1,0,1-Jan-93,0,0,0,0,577,0,0,0,0,1,0,Coneheads,,,330,2/18/05,"$17,018,422","$100,000,000", Son of the Mask,"$59,918,422"
331,Congo (1995),1,1,0,0,0,0,1-Jan-95,0,0,0,0,769,0,1,0,0,1,0,Congo,,,331,4/3/98,"$10,162,034","$100,000,000", The Spanish Prisoner,"$13,835,130"
332,Conspiracy Theory (1997),1,0,0,0,0,0,8-Aug-97,0,0,0,0,328,0,1,0,1,0,1,Conspiracy Theory,,,332,8/16/02,"$4,411,102","$100,000,000", The Adventures of Pluto Nash,"$7,094,995"
333,Contact (1997),0,0,0,0,0,0,11-Jul-97,0,1,0,0,258,0,0,0,0,1,0,Contact,,,333,12/21/11,"$311,434","$100,000,000", Jin lÌ_ng shÌ_ san chai,"$93,721,434"
334,"Contempt (Mépris, Le) (1963)",0,0,0,0,0,0,27-Jun-97,0,1,0,0,1252,0,0,0,0,0,0,"Contempt (Mépris, Le)",,,334,11/6/15,"$130,178,411","$99,000,000", The Peanuts Movie,"$244,778,411"
335,"Convent, The (Convento, O) (1995)",0,0,0,0,0,0,14-Jun-96,0,1,0,0,1342,0,0,0,0,0,0,"Convent, The (Convento, O)",,,335,5/4/01,"$202,007,640","$98,000,000", The Mummy Returns,"$435,040,395"
336,"Cook the Thief His Wife & Her Lover, The (1989)",0,0,0,0,0,0,1-Jan-89,0,1,0,0,640,0,0,0,0,0,0,"Cook the Thief His Wife & Her Lover, The",,,336,12/20/02,"$77,730,500","$97,000,000", Gangs of New York,"$183,124,621"
337,Cool Hand Luke (1967),0,0,0,0,1,0,1-Jan-67,0,1,0,0,523,0,0,0,0,0,0,Cool Hand Luke,,,337,10/21/16,$0,"$96,000,000", Jack Reacher: Never Go Back,$0
338,Cool Runnings (1993),0,0,0,0,1,0,1-Jan-93,0,0,0,0,1035,0,0,0,0,0,0,Cool Runnings,,,338,3/13/15,"$201,151,353","$95,000,000", Cinderella,"$534,551,353"
339,Cop Land (1997),0,0,0,0,0,1,1-Jan-97,0,1,0,0,327,0,1,0,0,0,0,Cop Land,,,339,7/13/12,"$161,321,843","$95,000,000", Ice Age: Continental Drift,"$879,765,137"
340,Cops and Robbersons (1994),0,0,0,0,1,0,1-Jan-94,0,0,0,0,1182,0,0,0,0,0,0,Cops and Robbersons,,,340,12/28/01,"$108,638,745","$95,000,000", Black Hawk Down,"$159,691,085"
341,Copycat (1995),0,0,0,0,0,1,1-Jan-95,0,1,0,0,5,0,0,0,0,0,1,Copycat,,,341,5/27/10,"$95,347,692","$95,000,000", Sex and the City 2,"$294,680,778"
342,"Corrina, Corrina (1994)",0,0,0,0,1,0,1-Jan-94,0,1,0,0,731,0,0,0,1,0,0,"Corrina, Corrina",,,342,2/12/10,"$88,768,303","$95,000,000", Percy Jackson & the Olympians: The Lightning Thief,"$223,050,874"
343,Cosi (1996),0,0,0,0,1,0,11-Apr-97,0,0,0,0,1537,0,0,0,0,0,0,Cosi,,,343,8/10/12,"$86,907,746","$95,000,000", The Campaign,"$104,907,746"
344,Country Life (1994),0,0,0,0,0,0,1-Jan-94,0,1,0,0,1290,0,0,0,1,0,0,Country Life,,,344,11/12/10,"$81,562,942","$95,000,000", Unstoppable,"$169,511,609"
345,Courage Under Fire (1996),0,0,0,0,0,0,8-Mar-96,0,1,0,0,471,0,0,0,0,0,0,Courage Under Fire,,,345,5/9/97,"$63,570,862","$95,000,000", The Fifth Element,"$263,900,000"
346,"Cowboy Way, The (1994)",1,0,0,0,1,0,1-Jan-94,0,0,0,0,1183,0,0,0,0,0,0,"Cowboy Way, The",,,346,3/31/00,"$50,802,661","$95,000,000", The Road to El Dorado,"$65,700,000"
347,"Craft, The (1996)",0,0,0,0,0,0,26-Apr-96,0,1,0,1,928,0,0,0,0,0,0,"Craft, The",,,347,12/11/09,"$44,114,232","$95,000,000", The Lovely Bones,"$94,894,448"
348,Crash (1996),0,0,0,0,0,0,21-Mar-97,0,1,0,0,325,0,0,0,0,0,1,Crash,,,348,2/6/15,"$17,223,265","$95,000,000", Seventh Son,"$110,623,265"
349,Crimson Tide (1995),0,0,0,0,0,0,1-Jan-95,0,1,0,0,31,0,0,0,0,0,1,Crimson Tide,,,349,5/30/03,"$380,529,370","$94,000,000", Finding Nemo,"$936,429,370"
350,Critical Care (1997),0,0,0,0,1,0,1-Jan-97,0,0,0,0,341,0,0,0,0,0,0,Critical Care,,,350,12/17/03,"$377,845,905","$94,000,000", The Lord of the Rings: The Return of the King,"$1,141,408,667"
351,Cronos (1992),0,0,0,0,0,0,1-Jan-92,0,0,0,1,1056,0,0,0,0,0,0,Cronos,,,351,12/18/02,"$342,548,984","$94,000,000", The Lord of the Rings: The Two Towers,"$934,703,179"
352,Crooklyn (1994),0,0,0,0,1,0,1-Jan-94,0,0,0,0,793,0,0,0,0,0,0,Crooklyn,,,352,6/15/01,"$131,144,183","$94,000,000", Lara Croft: Tomb Raider,"$273,330,185"
353,Crossfire (1947),0,0,0,0,0,1,1-Jan-47,0,0,0,0,1064,0,0,1,0,0,0,Crossfire,,,353,7/18/01,"$181,166,115","$93,000,000", Jurassic Park III,"$365,900,000"
354,"Crossing Guard, The (1995)",0,0,0,0,0,0,1-Jan-95,0,1,0,0,460,0,0,0,0,0,0,"Crossing Guard, The",,,354,8/5/11,"$176,760,185","$93,000,000", Rise of the Planet of the Apes,"$482,860,185"
355,"Crow, The (1994)",1,0,0,0,0,0,1-Jan-94,0,0,0,0,68,0,0,0,1,0,1,"Crow, The",,,355,2/14/08,"$71,195,053","$92,500,000", The Spiderwick Chronicles,"$162,839,667"
356,"Crow: City of Angels, The (1996)",1,0,0,0,0,0,30-Aug-96,0,0,0,0,743,0,0,0,0,0,1,"Crow: City of Angels, The",,,356,11/5/04,"$261,441,092","$92,000,000", The Incredibles,"$614,726,752"
357,Crows and Sparrows (1949),0,0,0,0,0,0,1-Jan-49,0,1,0,0,1350,0,0,0,0,0,0,Crows and Sparrows,,,357,2/14/13,"$67,349,198","$92,000,000", A Good Day to Die Hard,"$304,249,198"
358,"Crucible, The (1996)",0,0,0,0,0,0,27-Nov-96,0,1,0,0,676,0,0,0,0,0,0,"Crucible, The",,,358,4/9/04,"$22,406,362","$92,000,000", The Alamo,"$23,911,362"
359,"Crude Oasis, The (1995)",0,0,0,0,0,0,1-Jan-95,0,0,0,0,1340,0,0,0,1,0,0,"Crude Oasis, The",,,359,12/22/95,"$10,017,322","$92,000,000", Cutthroat Island,"$18,517,322"
360,Crumb (1994),0,0,0,0,0,0,1-Jan-94,1,0,0,0,32,0,0,0,0,0,0,Crumb,,,360,12/25/13,"$58,236,838","$91,000,000", The Secret Life of Walter Mitty,"$188,536,838"
361,"Cry, the Beloved Country (1995)",0,0,0,0,0,0,1-Jan-95,0,1,0,0,459,0,0,0,0,0,0,"Cry, the Beloved Country",,,361,7/1/97,"$250,690,539","$90,000,000", Men in Black,"$587,790,539"
362,"Crying Game, The (1992)",1,0,0,0,0,0,1-Jan-92,0,1,0,0,631,0,0,0,1,0,0,"Crying Game, The",,,362,11/19/99,"$245,852,179","$90,000,000", Toy Story 2,"$511,358,276"
363,Curdled (1996),0,0,0,0,0,1,27-Sep-96,0,0,0,0,1081,0,0,0,0,0,0,Curdled,,,363,8/3/01,"$226,164,286","$90,000,000", Rush Hour 2,"$347,425,832"
364,"Cure, The (1995)",0,0,0,0,0,0,1-Jan-95,0,1,0,0,1468,0,0,0,0,0,0,"Cure, The",,,364,12/25/09,"$209,028,679","$90,000,000", Sherlock Holmes,"$498,438,212"
365,Cutthroat Island (1995),1,1,0,0,0,0,1-Jan-95,0,0,0,0,1239,0,0,0,1,0,0,Cutthroat Island,,,365,7/1/09,"$196,573,705","$90,000,000", Ice Age: Dawn of the Dinosaurs,"$859,701,857"
366,Cyclo (1995),0,0,0,0,0,1,2-Aug-96,0,1,0,0,1156,0,0,0,0,0,0,Cyclo,,,366,7/21/00,"$155,464,351","$90,000,000", What Lies Beneath,"$288,693,989"
367,Cyrano de Bergerac (1990),1,0,0,0,0,0,1-Jan-90,0,1,0,0,207,0,0,0,1,0,0,Cyrano de Bergerac,,,367,4/15/11,"$143,619,809","$90,000,000", Rio,"$487,519,809"
368,"Cérémonie, La (1995)",0,0,0,0,0,0,20-Dec-96,0,1,0,0,1623,0,0,0,0,0,0,"Cérémonie, La",,,368,10/6/06,"$132,384,315","$90,000,000", The Departed,"$289,660,619"
369,D3: The Mighty Ducks (1996),0,0,0,1,1,0,4-Oct-96,0,0,0,0,138,0,0,0,0,0,0,D3: The Mighty Ducks,,,369,11/3/00,"$125,305,545","$90,000,000", Charlie's Angels,"$259,736,090"
370,Dadetown (1995),0,0,0,0,0,0,18-Sep-96,1,0,0,0,1641,0,0,0,0,0,0,Dadetown,,,370,6/19/98,"$120,620,254","$90,000,000", Mulan,"$303,500,000"
371,Daens (1992),0,0,0,0,0,0,1-Jan-92,0,1,0,0,1565,0,0,0,0,0,0,Daens,,,371,8/13/08,"$110,461,307","$90,000,000", Tropic Thunder,"$191,091,250"
372,"Damsel in Distress, A (1937)",0,0,0,0,1,0,1-Jan-37,0,0,0,0,1458,1,0,0,1,0,0,"Damsel in Distress, A",,,372,12/20/11,"$102,515,793","$90,000,000", The Girl with the Dragon Tattoo,"$239,373,970"
373,Dances with Wolves (1990),0,1,0,0,0,0,1-Jan-90,0,1,0,0,97,0,0,0,0,0,0,Dances with Wolves,,,373,7/11/97,"$100,920,329","$90,000,000", Contact,"$165,900,000"
374,Dangerous Beauty (1998),0,0,0,0,0,0,23-Jan-98,0,1,0,0,909,0,0,0,0,0,0,Dangerous Beauty,,,374,6/6/08,"$100,018,837","$90,000,000", You Don't Mess With the Zohan,"$202,910,991"
375,Dangerous Ground (1997),0,0,0,0,0,0,4-Sep-96,0,1,0,0,981,0,0,0,0,0,0,Dangerous Ground,,,375,5/19/95,"$100,012,499","$90,000,000", Die Hard: With a Vengeance,"$366,101,666"
376,Dangerous Minds (1995),0,0,0,0,0,0,1-Jan-95,0,1,0,0,366,0,0,0,0,0,0,Dangerous Minds,,,376,12/18/15,"$85,886,987","$90,000,000", Alvin and the Chipmunks: The Road Chip,"$235,296,080"
377,Daniel Defoe's Robinson Crusoe (1996),0,0,0,1,0,0,1-Jan-96,0,0,0,0,600,0,0,0,0,0,0,Daniel Defoe's Robinson Crusoe,,,377,6/8/01,"$84,052,762","$90,000,000", Atlantis: The Lost Empire,"$186,049,020"
378,Dante's Peak (1997),1,0,0,0,0,0,7-Feb-97,0,0,0,0,323,0,0,0,0,0,1,Dante's Peak,,,378,12/25/08,"$83,077,762","$90,000,000", Valkyrie,"$203,902,107"
379,Dark City (1998),0,0,0,0,0,0,9-Jan-98,0,0,0,0,691,0,0,1,0,1,1,Dark City,,,379,7/24/15,"$78,747,585","$90,000,000", Pixels,"$244,126,300"
380,Dave (1993),0,0,0,0,1,0,1-Jan-93,0,0,0,0,732,0,0,0,1,0,0,Dave,,,380,6/29/01,"$78,616,689","$90,000,000", Artificial Intelligence: AI,"$235,900,000"
381,"Davy Crockett, King of the Wild Frontier (1955)",0,0,0,0,0,0,1-Jan-55,0,0,0,0,621,0,0,0,0,0,0,"Davy Crockett, King of the Wild Frontier",,,381,11/26/03,"$75,817,994","$90,000,000", The Haunted Mansion,"$155,750,628"
382,"Day the Earth Stood Still, The (1951)",0,0,0,0,0,0,1-Jan-51,0,1,0,0,429,0,0,0,0,1,0,"Day the Earth Stood Still, The",,,382,8/4/00,"$73,209,340","$90,000,000", Hollow Man,"$191,200,000"
383,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",0,0,0,0,0,0,1-Jan-94,0,1,0,0,1345,0,0,0,0,0,0,"Day the Sun Turned Cold, The (Tianguo niezi)",,,383,4/22/05,"$72,708,161","$90,000,000", The Interpreter,"$162,753,837"
384,Daylight (1996),1,1,0,0,0,0,6-Dec-96,0,0,0,0,827,0,0,0,0,0,1,Daylight,,,384,8/7/13,"$68,559,554","$90,000,000", Percy Jackson: Sea of Monsters,"$200,859,554"
385,Days of Thunder (1990),1,0,0,0,0,0,1-Jan-90,0,0,0,0,849,0,0,0,1,0,0,Days of Thunder,,,385,7/25/03,"$65,653,758","$90,000,000", Lara Croft: Tomb Raider: The Cradle of Life,"$157,092,943"
386,"Daytrippers, The (1996)",0,0,0,0,0,0,21-Mar-97,0,0,0,0,533,0,1,0,0,0,0,"Daytrippers, The",,,386,11/21/01,"$62,362,560","$90,000,000", Spy Game,"$143,049,560"
387,Dazed and Confused (1993),0,0,0,0,1,0,1-Jan-93,0,0,0,0,959,0,0,0,0,0,0,Dazed and Confused,,,387,4/4/97,"$61,363,304","$90,000,000", The Saint,"$169,400,000"
388,Dead Man (1995),0,0,0,0,0,0,10-May-96,0,0,0,0,922,0,0,0,0,0,0,Dead Man,,,388,3/10/00,"$60,874,615","$90,000,000", Mission to Mars,"$106,000,000"
389,Dead Man Walking (1995),0,0,0,0,0,0,1-Jan-95,0,1,0,0,9,0,0,0,0,0,0,Dead Man Walking,,,389,6/10/16,"$60,013,460","$90,000,000", Now You See Me 2,"$215,613,460"
390,Dead Poets Society (1989),0,0,0,0,0,0,1-Jan-89,0,1,0,0,196,0,0,0,0,0,0,Dead Poets Society,,,390,12/17/99,"$58,220,776","$90,000,000", Bicentennial Man,"$87,420,776"
391,Dead Presidents (1995),1,0,0,0,0,1,1-Jan-95,0,1,0,0,1478,0,0,0,0,0,0,Dead Presidents,,,391,7/7/04,"$51,877,963","$90,000,000", King Arthur,"$203,877,963"
392,Dear God (1996),0,0,0,0,1,0,1-Nov-96,0,0,0,0,1092,0,0,0,0,0,0,Dear God,,,392,4/25/97,"$47,546,796","$90,000,000", Volcano,"$120,100,000"
393,Death and the Maiden (1994),0,0,0,0,0,0,1-Jan-94,0,1,0,0,1109,0,0,0,0,0,1,Death and the Maiden,,,393,3/26/97,"$42,885,593","$90,000,000", The Devil's Own,"$140,900,000"
394,Death in Brunswick (1991),0,0,0,0,1,0,16-Aug-96,0,0,0,0,1593,0,0,0,0,0,0,Death in Brunswick,,,394,7/19/02,"$35,168,966","$90,000,000", K-19: The Widowmaker,"$65,716,126"
395,"Death in the Garden (Mort en ce jardin, La) (1956)",0,0,0,0,0,0,1-Jan-56,0,1,0,0,1577,0,0,0,0,0,0,"Death in the Garden (Mort en ce jardin, La)",,,395,8/19/11,"$21,295,021","$90,000,000", Conan the Barbarian,"$63,356,133"
396,Deceiver (1997),0,0,0,0,0,1,1-Jan-97,0,0,0,0,1606,0,0,0,0,0,0,Deceiver,,,396,10/21/11,"$20,377,913","$90,000,000", The Three Musketeers,"$139,877,913"
397,Deconstructing Harry (1997),0,0,0,0,1,0,1-Jan-97,0,1,0,0,345,0,0,0,0,0,0,Deconstructing Harry,,,397,11/24/10,"$195,459","$90,000,000", The Nutcracker in 3D,"$20,466,016"
398,Deep Rising (1998),1,0,0,0,0,0,30-Jan-98,0,0,0,1,353,0,0,0,0,1,0,Deep Rising,,,398,5/10/96,"$241,688,385","$88,000,000", Twister,"$495,700,000"
399,"Deer Hunter, The (1978)",0,0,0,0,0,0,1-Jan-78,0,1,0,0,521,0,0,0,0,0,0,"Deer Hunter, The",,,399,6/3/05,"$61,649,911","$88,000,000", Cinderella Man,"$105,021,488"
400,Delicatessen (1991),0,0,0,0,1,0,1-Jan-91,0,0,0,0,171,0,0,0,0,1,0,Delicatessen,,,400,7/8/05,"$154,696,080","$87,500,000", Fantastic Four,"$330,717,080"
401,Delta of Venus (1994),0,0,0,0,0,0,1-Jan-94,0,1,0,0,1306,0,0,0,0,0,0,Delta of Venus,,,401,2/9/01,"$165,092,266","$87,000,000", Hannibal,"$350,100,280"
402,Demolition Man (1993),1,0,0,0,0,0,1-Jan-93,0,0,0,0,578,0,0,0,0,1,0,Demolition Man,,,402,7/25/03,"$120,277,854","$86,000,000", Seabiscuit,"$148,715,342"
403,Denise Calls Up (1995),0,0,0,0,1,0,29-Mar-96,0,0,0,0,1288,0,0,0,0,0,0,Denise Calls Up,,,403,12/22/00,"$233,632,142","$85,000,000", Cast Away,"$427,230,516"
404,Desert Winds (1995),0,0,0,0,0,0,1-Jan-95,0,1,0,0,1616,0,0,0,0,0,0,Desert Winds,,,404,11/17/06,"$198,000,317","$85,000,000", Happy Feet,"$385,000,317"
405,"Designated Mourner, The (1997)",0,0,0,0,0,0,23-May-97,0,1,0,0,1257,0,0,0,0,0,0,"Designated Mourner, The",,,405,12/7/01,"$183,417,150","$85,000,000", Ocean's Eleven,"$450,728,529"
406,Desperado (1995),1,0,0,0,0,0,1-Jan-95,0,0,0,0,33,0,0,0,1,0,1,Desperado,,,406,7/23/04,"$176,087,450","$85,000,000", The Bourne Supremacy,"$288,587,450"
407,Desperate Measures (1998),0,0,0,0,0,1,30-Jan-98,0,1,0,0,348,0,0,0,0,0,1,Desperate Measures,,,407,7/25/97,"$172,956,409","$85,000,000", Air Force One,"$315,268,353"
408,Destiny Turns on the Radio (1995),0,0,0,0,1,0,1-Jan-95,0,0,0,0,1550,0,0,0,0,0,0,Destiny Turns on the Radio,,,408,4/3/09,"$155,064,265","$85,000,000", Fast & Furious,"$363,064,265"
409,Devil in a Blue Dress (1995),0,0,0,0,0,1,1-Jan-95,0,0,0,0,770,0,1,1,0,0,1,Devil in a Blue Dress,,,409,3/14/08,"$154,529,439","$85,000,000", Horton Hears a Who,"$299,477,886"
410,"Devil's Advocate, The (1997)",0,0,0,0,0,1,1-Jan-97,0,0,0,1,307,0,1,0,0,0,1,"Devil's Advocate, The",,,410,3/21/14,"$150,947,895","$85,000,000", Divergent,"$276,014,965"
411,"Devil's Own, The (1997)",1,0,0,0,0,0,26-Mar-97,0,1,0,0,245,0,0,0,0,0,1,"Devil's Own, The",,,411,9/28/12,"$148,313,048","$85,000,000", Hotel Transylvania,"$378,505,812"
412,Diabolique (1996),0,0,0,0,0,0,1-Jan-96,0,1,0,0,106,0,0,0,0,0,1,Diabolique,,,412,11/21/07,"$127,706,877","$85,000,000", Enchanted,"$340,384,141"
413,Dial M for Murder (1954),0,0,0,0,0,0,1-Jan-54,0,0,0,0,505,0,1,0,0,0,1,Dial M for Murder,,,413,2/10/12,"$126,181,630","$85,000,000", Safe House,"$208,542,162"
414,Die Hard (1988),1,0,0,0,0,0,1-Jan-88,0,0,0,0,144,0,0,0,0,0,1,Die Hard,,,414,7/20/07,"$119,725,280","$85,000,000", I Now Pronounce You Chuck and Larry,"$185,708,462"
415,Die Hard 2 (1990),1,0,0,0,0,0,1-Jan-90,0,0,0,0,226,0,0,0,0,0,1,Die Hard 2,,,415,6/8/07,"$117,144,465","$85,000,000", Ocean's Thirteen,"$311,744,465"
416,Die Hard: With a Vengeance (1995),1,0,0,0,0,0,1-Jan-95,0,0,0,0,550,0,0,0,0,0,1,Die Hard: With a Vengeance,,,416,12/25/09,"$112,735,375","$85,000,000", It's Complicated,"$224,614,744"
417,"Die xue shuang xiong (Killer, The) (1989)",1,0,0,0,0,0,1-Jan-89,0,0,0,0,1019,0,0,0,0,0,1,"Die xue shuang xiong (Killer, The)",,,417,11/20/98,"$111,549,836","$85,000,000", Enemy of the State,"$250,649,836"
418,Dingo (1992),0,0,0,0,0,0,1-Jan-92,0,1,0,0,1346,0,0,0,0,0,0,Dingo,,,418,9/29/06,"$85,105,259","$85,000,000", Open Season,"$191,932,158"
419,Dirty Dancing (1987),0,0,0,0,0,0,1-Jan-87,0,0,0,0,155,1,0,0,1,0,0,Dirty Dancing,,,419,11/4/11,"$78,046,570","$85,000,000", Tower Heist,"$153,487,972"
420,Disclosure (1994),0,0,0,0,0,0,1-Jan-94,0,1,0,0,43,0,0,0,0,0,1,Disclosure,,,420,11/22/00,"$66,941,559","$85,000,000", 102 Dalmatians,"$66,941,559"
421,Diva (1981),1,0,0,0,0,0,1-Jan-81,0,1,0,0,855,0,1,0,1,0,1,Diva,,,421,3/30/12,"$64,935,167","$85,000,000", Mirror Mirror,"$173,613,482"
